index,dbn,reading,math,writing,name,schooltype,aca_s_13,com_s_13,eng_s_13,saf_s_13,s_q1a,s_q1b,s_q1c,s_q1d,s_q1e,s_q1f,s_q1g,s_q2a,s_q2b,s_q2c,s_q2d,s_q3,s_q4a,s_q4e,s_q4f,s_q4g,s_q4h,s_q4i,s_q4j,s_q4k,s_q5a,s_q5b,s_q6a,s_q6b,s_q6c,s_q7a,s_q7b,s_q11a,s_q11b,s_q11c,s_q11d,s_q11e,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q4c,p_q5a,p_q5b,p_q5c,p_q9,p_q10a,p_q10b,aca_t_13,com_t_13,eng_t_13,saf_t_13,t_q1a,t_q1b,t_q1c,t_q1d,t_q1e,t_q1f,t_q1g,t_q1h,t_q2a,t_q2b,t_q3a,t_q3b,t_q3c,t_q3d,t_q4a,t_q4b,t_q4c,t_q4d,t_q4e,t_q4f,t_q4g,t_q5,t_q6a,t_q6b,t_q6c,t_q7a,t_q7b,t_q7c,t_q8a,t_q8b,t_q8c,t_q9a,t_q9b,t_q9d,t_q10a,t_q10b,t_q10c,t_q10d,t_q10e,t_q10f,t_q11a,t_q11b,t_q11c,t_q11d,t_q11e,t_q11f,t_q11g,t_q11h,t_q11i,t_q11j,t_q11k,t_q11l,t_q11m,t_q12a,t_q14a,t_q14b,t_q14c,t_q14d,t_q15a,t_q15b,t_q15c,t_q15d,t_q16a,t_q16b,t_q16c
1,01M292,355,404,363,Henry Street School for International Studies,MS/HS,7.38757,7.47365,6.57112,6.70686,7.88826,7.85038,7.6813,7.74809,7.45247,5.64672,8.03846,7.70192,6.91571,7.73764,6.78711,6.14035,8.39962,6.88679,7.11027,6.82075,6.71402,7.57605,7.03774,6.69231,7.85714,6.78571,5.21617,5.27358,5.83333,5.31132,5.54924,8.02632,6.67925,6.65076,7.0928,7.94677,8.2,8.6,8.4,8.6,8.7,8.2,8.3,8.8,9.1,8.8,8.7,8.8,8.2,8.8,8.6,8.8,8.5,8.6,8.6,8.5,8.4,8.7,8.7,8.8,8.9,8.3,6.2,8.6,8.4,8.5,7.4,7.4,6.9,8.64368,8.74805,8.64506,8.29099,9.29688,9.27419,7.96875,8.46774,9.0625,9.6875,7.96875,8.51563,9.21875,9.0625,8.98438,8.75,7.5,9.29688,9.29688,7.89063,8.82813,8.82813,8.82813,8.82813,9.14063,9.59677,9.29688,9.0625,9.84375,9.60938,9.84375,9.60938,8.59375,7.10938,7.5,9.01786,9.19643,8.48214,7.58333,8.33333,8.91667,9.08333,7.33333,7.91667,7.10938,7.96875,9.14063,8.125,6.95313,9.53125,7.89063,9.29688,9.6875,6.71875,7.26563,8.14516,9.03226,8.51563,NA,NA,NA,NA,7.5,7.70833,8.75,9.58333,7.23684,7.89474,8.15789
2,01M448,383,423,366,University Neighborhood High School,HS,7.85558,7.69179,7.01471,7.46452,8.28189,8.01653,7.72634,7.92355,7.76971,5.97107,8.39876,7.91152,7.03893,8.08884,7.74793,7.35169,8.07851,7.51029,7.72917,7.47934,7.17708,7.45868,7.4375,7.33264,7.85904,7.08705,6.59836,6.09053,6.89834,6.94444,6.69421,8.38174,7.58264,7.75105,8.06818,8.82231,8.1,8,7.5,8.3,8.1,7.4,7.9,8.2,8.4,8,7.8,8,7.6,8,8,8.1,8.3,8,8.1,8,7.8,8.1,8.4,8.3,8.2,8.1,4.3,8.1,7.8,7.9,8.3,8.6,8.3,8.23611,7.45,7.36842,8.29056,8.2,6.8,7.3,7.9,7.2,8.5,6.3,6.9,7.5,7.9,7.9,8.9,7.4,7.8,8.4,6.8,7.4,8.4,8.6,8.33333,7.8,9.4,7.2,7.29167,8.75,8.4375,8.75,8.95833,6.8,5.2,6,7.4,7.9,7.1875,6.77083,7.1,7.4,7.7,7.3,7.4,8.2,8.5,8.8,8.2,8,9.375,8,8.8,9.3,7,8.2,8.64583,7.7,8.6,NA,NA,NA,NA,NA,NA,NA,NA,8,8.3,8.7
3,01M450,377,402,370,East Side Community School,MS/HS,8.58718,8.5929,8.11482,8.27832,9.06455,8.82418,8.61173,8.68653,8.62279,6.99668,9.03422,8.78889,8.21429,8.85556,8.3427,7.80382,9.12611,8.57854,8.8196,8.64191,8.45,8.76386,8.37808,8.14607,8.61607,8.27751,7.06839,7.23295,7.51131,7.43213,8.16854,9.30899,8.00562,7.95662,8.49099,9.3018,8.9,9.1,8.8,9,9.3,8.9,9.1,9.3,9.4,8.8,9,9.1,9.1,9.2,9.1,9.1,9.2,9,9.1,9,8.8,9,9,9.1,8.7,8.9,7.8,9.1,9.1,9,8.4,8.4,8.3,8.62359,8.54123,8.4328,8.62016,9.06977,9.36047,8.33333,8.09524,8.77907,9.12791,8.83721,9.40476,8.19767,9.30233,8.63636,8.01136,6.93182,9.18605,8.23864,8.40909,9.08537,8.95349,8.80682,8.80682,7.27273,9.14773,9.14773,8.35227,8.97727,8.80682,9.03409,8.92045,8.63636,8.63636,8.86364,7.20238,7.67857,7.14286,8.0814,8.52273,8.86364,9.09091,8.46591,7.7381,8.75,8.92045,9.65909,9.43182,7.15909,9.375,8.75,8.63636,9.60227,7.95455,7.5,9.09091,8.46591,7.5,NA,NA,NA,NA,7.89474,7.63158,9.21053,8.81579,8.4,8,8.8
4,01M458,414,401,359,Forsyth Satellite Academy,HST,7.5392,7.81673,6.94109,7.72072,8.34034,8.27731,7.87815,7.8178,7.56356,6.05042,7.80172,8.22034,6.80085,7.47881,6.82203,6.52174,7.89916,7.73109,8.29832,8.06723,7.58475,7.94492,7.35169,7.5,8.24074,7.07547,6.49573,6.37931,6.86957,6.27119,5.88235,7.62605,9.18803,8.58974,8.75,8.31933,8.3,8,7.9,8.2,8.1,7.7,6.5,8.5,8.7,8.4,8,8.9,7.7,8.7,8.6,8.5,8,8.4,8.3,8,8.3,8.1,8.6,8.3,7.8,8.1,5.8,8.8,8.4,8.8,8.3,8,7.9,8.26364,7.58523,7.89474,7.60606,7.5,7.5,7.27273,7.27273,7.95455,7.72727,6.81818,7.95455,7.5,7.72727,8.63636,7.72727,7.04545,8.18182,8.18182,7.72727,8.18182,7.5,7.5,7.95455,8.63636,9.31818,8.18182,8.40909,10,8.18182,9.31818,9,8.40909,7.04545,6.81818,6.81818,8.40909,6.13636,7.5,7.95455,8.18182,9.31818,7,7.04545,6.13636,6.36364,8.86364,7.27273,8.18182,8.40909,6.81818,8.63636,9.31818,5,8.40909,7.27273,9.09091,7.72727,NA,NA,NA,NA,NA,NA,NA,NA,8.40909,8.63636,8.63636
5,01M509,390,433,384,Marta Valle High School,HS,6.66062,6.93487,5.79401,6.40885,7.38562,6.60714,6.89542,6.72078,6.47059,4.08497,7.38562,7.14744,5.90461,7.08882,6.09477,5.03333,7.94702,6.24161,7.01014,6.81208,6.7517,5.54795,6.76174,6.13176,7.35294,5.875,4.85099,4.11074,5.87248,4.70199,5.38591,7.14789,7.25862,7.44643,7.65957,8.41912,8.1,8.3,8.1,8.2,8.2,8,8.3,8.7,8.7,8.2,8.2,8.6,8,8.3,8.2,8.5,8.6,8.2,7.8,7.7,8,8.4,8.1,8.3,8.6,8,6.6,8.3,8.1,8.2,8.8,7.9,6.7,5.97147,3.81332,5.21215,5.70752,3.47222,3.05556,3.08824,3.97059,2.5,4.02778,2.22222,2.63889,2.63889,3.19444,6.52778,8.05556,4.02778,5.29412,6.52778,5.27778,6.11111,6.94444,5.13889,5.55556,6.11111,8.61111,3.08824,8.61111,8.61111,6.80556,7.63889,7.5,5.13889,3.47222,3.88889,4.21875,6.32353,3.47222,5.14706,5.14706,6.47059,7.5,4.53125,3.75,2.22222,4.02778,6.11111,6.80556,6.66667,8.52941,4.30556,6.66667,7.36111,3.88889,6.52778,6.52778,7.5,5.83333,NA,NA,NA,NA,NA,NA,NA,NA,4.41176,4.70588,6.32353
6,01M515,332,557,316,Lower East Side Preparatory High School,HST,8.19698,7.6344,7.68031,8.50152,8.70536,8.08857,7.79018,8.47098,8.02483,7.23476,8.71348,7.13333,7.23034,7.8764,7.62864,7.79213,8.6637,7.83072,8.65169,8.28859,8.04494,8.14334,7.97968,7.91011,8.35349,7.88372,7.97884,8.02013,8.00568,7.83632,7.75224,9.39342,9.1573,9.10998,9.10068,9.50226,8.3,8.4,8,8.5,8.4,8.2,8.3,8.4,8.8,8.6,8.2,8.4,8.3,8.4,8.4,8.4,8.3,8.3,8.4,8.5,8.4,8.6,8.9,8.5,8.6,8,5.1,8.2,8.3,8.1,NA,NA,NA,9.04868,8.75869,8.98414,8.91882,8.98649,8.91892,8.64865,8.58108,8.64865,8.91892,8.64865,8.81944,8.78571,8.42857,8.98649,8.98649,8.51351,9.09722,8.88889,9.05405,9.05405,9.05405,8.71622,8.78378,9.18919,9.16667,9.64286,9.42857,9.16667,8.92857,9.14286,9.23611,8.57143,8.85714,9.21429,9.16667,9.09722,8.95833,8.45588,8.71622,8.85135,9.30556,9.5,8.54167,9.02778,8.81944,9.42857,9.11765,8.75,9.23611,8.75,9.02778,9.21429,8.95833,8.54167,9.30556,8.64286,8.81944,NA,NA,NA,NA,NA,NA,NA,NA,8.88889,9.16667,8.92857
7,01M539,522,574,525,"New Explorations into Science, Technology and Math High School",ES/MS/HS,7.99547,7.33336,7.15868,7.65677,8.87978,8.20688,7.4506,8.0363,7.47541,5.80416,8.76374,7.37952,7.01427,8.11129,7.52486,7.07456,8.68579,7.78173,8.5241,8.05647,6.66575,7.75711,7.16997,7.22682,8.22935,7.12805,6.63746,6.63925,7.19606,6.49233,6.96389,8.1441,8.74589,7.64901,8.03611,9.49236,8.4,8.4,8,8.4,8.6,8.1,8.3,7.9,9,7.8,7.3,8.9,8.6,9.1,8.6,8.6,8.2,8.2,8.8,8.4,7.8,8.4,8.8,8.5,8.2,8.1,7.4,8.1,8.9,8.9,8,8.3,6.8,7.20934,4.37474,5.18821,7.81212,3.81818,3.90909,2.68182,1.81818,3,4.04545,3.11321,3.47222,2.68182,4.68182,5.04545,6.09091,4.95455,6.15741,6.85185,7.63636,8.54545,7.68182,7.13636,6.2037,6.72727,8.59091,2.63636,5.54545,8.5,7.5,7.40909,7.22222,6.27273,4.95455,7.27273,3.33333,3.54545,3.00926,5.56604,6.15741,7.22727,7.68519,6.59091,3.58491,7.77273,6.5,9.22727,9.13636,7.68182,8.90909,8.45455,7.13636,8.72727,7.90909,7.63636,9.31818,6.95455,8.36364,5.88235,7.20588,8.38235,8.08824,7.11538,8.26923,9.61538,9.42308,6.35417,6.04167,7.6087
8,01M650,417,418,411,Cascades High School,HST,8.38094,8.32427,7.78905,8.26789,8.78205,8.62179,8.25806,8.87821,8.15705,6.53846,8.80645,8.6859,8.09677,8.49359,8.14935,7.83113,8.42532,8.46154,8.6859,8.62179,8.27922,8.35484,8.02885,8.14103,8.38095,8.02536,7.32258,7.02922,7.66447,7.81046,7.46753,8.08442,8.8961,8.97727,9.08065,8.44156,8.9,8.9,8.6,9.1,9,8.6,8.4,9.5,9.3,8.8,9.2,9.1,8.7,8.8,9,8.9,9,8.9,8.8,8.8,8.7,9,9.1,9.2,9,9.1,6,9.2,8.8,9.1,8.3,8.8,9.2,9.08547,9.25481,8.93134,8.41026,9.42308,9.03846,8.46154,9.23077,9.23077,9.80769,9.03846,9.61538,9.03846,8.84615,8.46154,9.61538,9.42308,9.80769,9.03846,9.42308,8.84615,8.84615,8.84615,8.84615,9.23077,9.03846,9.61538,9.61538,8.84615,6.53846,7.88462,8.84615,8.65385,8.84615,8.65385,8.125,8.26923,8.54167,8.46154,9.03846,9.03846,9.42308,9.16667,9.375,8.75,9.42308,10,9.23077,8.07692,8.65385,8.26923,8.75,9.61538,5.19231,8.26923,9.03846,8.84615,8.26923,NA,NA,NA,NA,NA,NA,NA,NA,9.03846,9.61538,9.03846
9,01M696,624,604,628,Bard High School Early College,HS,8.65062,8.04634,7.86502,8.33712,9.49905,9.04649,8.20416,8.62004,7.09357,6.67608,9.32927,7.96226,7.57102,8.36812,8.31614,8.07292,9.60206,8.43396,9.21226,9.10882,7.35769,8.04348,7.97259,7.89151,8.61748,8.06436,7.95455,8.12381,8.5586,7.53766,8.02657,6.02515,9.55153,8.88836,9.23624,9.72433,7.8,8.7,8.8,8.8,8.7,8,8.7,9.1,9.5,8.5,8.5,9.3,8.8,9.6,9.2,9.2,9.1,8.9,9.4,9.3,9.1,8.8,8.9,8.9,8.5,8.8,8.6,8.8,9.2,9.1,NA,NA,NA,8.52739,8.01069,7.9256,8.32992,8.125,8.25,7.625,7.875,8.75,8.125,8.25,8.875,8.5,8.75,8.125,7.5,5.625,8.25,8.28947,8.625,9.625,9,8.28947,8.375,7.375,9.30556,8.28947,9.07895,8.28947,8.28947,8.42105,8.15789,8.81579,8.68421,9.34211,6.66667,7.63158,6.02941,7.10526,8.42105,8.28947,8.47222,8.28947,4.44444,8.28947,9.07895,8.94737,8.94737,8.28947,8.94737,9.07895,8.88889,8.94737,6.18421,6.97368,8.88889,7.5,7.89474,NA,NA,NA,NA,NA,NA,NA,NA,9.21053,8.02632,9.21053
10,02M047,395,400,387,47 The American Sign Language and English Secondary School,HS,7.68982,7.88575,6.83295,7.60168,8.3046,8.05233,7.70349,7.80347,7.54386,5.33237,8.40643,8.62717,7.10526,7.91667,7.28324,6.35294,8.46821,7.22543,8.13584,7.95977,7.87356,7.78736,7.32659,7.17836,8.57143,7.01923,6.14826,5.99415,6.76647,5.87209,5.93023,8.57353,8.39181,7.90179,8.34795,9.23977,8.6,8.8,8.1,8.7,8.8,8.4,8.4,9.1,9.3,8.6,8.6,8.4,8.5,8.9,8.8,8.8,8.9,8.7,8.8,8.5,8,8.7,9,8.7,8.8,8.5,4.8,9,8.8,8.7,7.8,8.1,8.3,7.77778,6.88419,7.3194,8.55556,7.5,7.5,7.77778,6.80556,6.66667,7.22222,5.83333,7.77778,6.32353,6.80556,7.36111,8.19444,6.94444,8.47222,8.05556,6.52778,6.94444,7.91667,7.5,7.63889,7.36111,9.30556,7.22222,8.05556,9.16667,8.05556,8.33333,7.77778,7.77778,7.5,6.94444,5.97222,6.94444,5.55556,6.32353,7.77778,6.80556,6.91176,6.38889,7.5,8.33333,8.47222,9.16667,9.44444,8.47222,8.88889,8.47222,8.47222,9.16667,8.75,8.88889,9.30556,8.33333,8.47222,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.77778,7.77778
