DBN,dbn
School Name,locationname
School Type,N/A
Total Parent Response Rate,rr_p
 1a. My child's school keeps me informed about my child's academic progress.,p_q1a_1
 1a. My child's school keeps me informed about my child's academic progress.,p_q1a_2
 1a. My child's school keeps me informed about my child's academic progress.,p_q1a_3
 1a. My child's school keeps me informed about my child's academic progress.,p_q1a_4
 1b. My child's school keeps me informed about what my child is learning.,p_q1b_1
 1b. My child's school keeps me informed about what my child is learning.,p_q1b_2
 1b. My child's school keeps me informed about what my child is learning.,p_q1b_3
 1b. My child's school keeps me informed about what my child is learning.,p_q1b_4
" 1c. My child's school keeps me informed about services for me or my child, such as tutoring, after-school programs, or workshops at school.",p_q1c_1
" 1c. My child's school keeps me informed about services for me or my child, such as tutoring, after-school programs, or workshops at school.",p_q1c_2
" 1c. My child's school keeps me informed about services for me or my child, such as tutoring, after-school programs, or workshops at school.",p_q1c_3
" 1c. My child's school keeps me informed about services for me or my child, such as tutoring, after-school programs, or workshops at school.",p_q1c_4
 1d. My child's school makes me feel welcome.,p_q1d_1
 1d. My child's school makes me feel welcome.,p_q1d_2
 1d. My child's school makes me feel welcome.,p_q1d_3
 1d. My child's school makes me feel welcome.,p_q1d_4
 1e. My child's school communicates with me in a language that I can understand.,p_q1e_1
 1e. My child's school communicates with me in a language that I can understand.,p_q1e_2
 1e. My child's school communicates with me in a language that I can understand.,p_q1e_3
 1e. My child's school communicates with me in a language that I can understand.,p_q1e_4
" 1f. My child's school makes it easy for parents to attend meetings by holding them at different times of day, providing an interpreter, or in other ways.",p_q1f_1
" 1f. My child's school makes it easy for parents to attend meetings by holding them at different times of day, providing an interpreter, or in other ways.",p_q1f_2
" 1f. My child's school makes it easy for parents to attend meetings by holding them at different times of day, providing an interpreter, or in other ways.",p_q1f_3
" 1f. My child's school makes it easy for parents to attend meetings by holding them at different times of day, providing an interpreter, or in other ways.",p_q1f_4
 1g. My child's school is responsive to parent feedback.,p_q1g_1
 1g. My child's school is responsive to parent feedback.,p_q1g_2
 1g. My child's school is responsive to parent feedback.,p_q1g_3
 1g. My child's school is responsive to parent feedback.,p_q1g_4
 1h. My child's school has teachers who are interested and attentive when they discuss my child.,p_q1h_1
 1h. My child's school has teachers who are interested and attentive when they discuss my child.,p_q1h_2
 1h. My child's school has teachers who are interested and attentive when they discuss my child.,p_q1h_3
 1h. My child's school has teachers who are interested and attentive when they discuss my child.,p_q1h_4
" 1i. My child's school offers a wide enough variety of courses, extracurricular activities and services to keep my child interested in school.",p_q1i_1
" 1i. My child's school offers a wide enough variety of courses, extracurricular activities and services to keep my child interested in school.",p_q1i_2
" 1i. My child's school offers a wide enough variety of courses, extracurricular activities and services to keep my child interested in school.",p_q1i_3
" 1i. My child's school offers a wide enough variety of courses, extracurricular activities and services to keep my child interested in school.",p_q1i_4
 1j. My child's school has high expectations for my child.,p_q1j_1
 1j. My child's school has high expectations for my child.,p_q1j_2
 1j. My child's school has high expectations for my child.,p_q1j_3
 1j. My child's school has high expectations for my child.,p_q1j_4
 1k. My child's school gives my child meaningful assignments that help him or her learn.,p_q1k_1
 1k. My child's school gives my child meaningful assignments that help him or her learn.,p_q1k_2
 1k. My child's school gives my child meaningful assignments that help him or her learn.,p_q1k_3
 1k. My child's school gives my child meaningful assignments that help him or her learn.,p_q1k_4
 1l. My child's school encourages my child not to give up on challenging work.,p_q1l_1
 1l. My child's school encourages my child not to give up on challenging work.,p_q1l_2
