dbn,locationname,N/A,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q2e,p_q2f,p_q2g,p_q2h,p_q2i,p_q2j,p_q3a,p_q3b,p_q4a,p_q4b,p_q4c,p_q4d,p_q5a,p_q5b,p_q5c,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,p_q9,p_q10a,p_q10b,,,
01M015,P.S. 015 Roberto Clemente,ES,8.2,8.6,8.3,8.6,8.8,8.5,8.5,9.0,8.8,8.3,8.5,8.7,8.2,8.6,8.3,8.5,8.5,8.4,8.0,7.8,7.8,8.8,8.8,8.5,8.4,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,8.9,8.2,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,7.8,7.5,,,
01M019,P.S. 019 Asher Levy,ES,8.4,8.5,8.1,8.5,8.7,8.5,8.2,8.7,8.8,8.1,8.2,8.6,7.7,8.4,8.6,8.5,8.5,8.3,8.5,7.6,7.4,8.5,8.6,8.6,8.8,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.2,Not Scored,8.3,8.4,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.7,8.4,,,
01M020,P.S. 020 Anna Silver,ES,8.2,8.5,8.0,8.5,8.7,8.5,8.1,8.7,8.8,8.4,8.3,8.5,7.9,8.4,8.5,8.3,8.2,8.2,8.3,7.6,7.6,8.6,8.7,8.5,8.4,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,Not Scored,8.5,8.3,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.1,7.9,,,
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,8.3,8.5,8.2,8.5,8.6,8.4,8.5,8.9,9.0,8.3,8.3,8.5,7.9,8.5,8.4,8.6,8.5,8.3,8.5,8.0,7.8,8.8,8.4,8.7,8.5,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,8.3,8.3,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.6,7.5,,,
01M063,The STAR Academy – P.S.63,ES,8.7,8.9,8.4,8.7,9.1,9.0,8.9,8.9,9.0,8.2,8.6,8.9,8.4,8.7,8.8,8.9,8.7,8.4,8.7,8.0,7.8,8.9,8.6,8.7,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,Not Scored,8.6,8.7,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,9.1,8.3,,,
01M064,P.S. 064 Robert Simon,ES,7.9,8.3,8.0,8.4,8.4,7.9,7.9,8.5,8.8,8.5,8.2,8.4,7.9,8.2,8.1,8.3,8.0,8.3,7.9,7.4,7.6,8.5,8.6,8.2,8.5,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.6,Not Scored,8.3,8.0,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,7.7,7.7,,,
01M110,P.S. 110 Florence Nightingale,ES,7.8,8.2,7.8,8.2,8.4,8.2,7.8,8.0,8.9,8.0,7.6,8.5,7.6,7.9,7.8,8.2,7.9,8.0,8.0,7.3,7.0,8.3,8.3,8.3,8.4,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.4,Not Scored,7.9,8.0,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,7.8,7.0,,,
01M134,P.S. 134 Henrietta Szold,ES,6.8,7.6,6.6,8.2,8.1,7.8,6.7,8.8,8.8,6.0,8.4,8.0,5.9,7.2,6.7,6.0,5.6,6.2,6.8,5.2,5.1,8.6,8.9,8.7,5.3,6.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.6,Not Scored,8.1,7.6,6.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.1,8.3,7.1,,,
01M137,P.S. 137 John L. Bernstein,ES,8.5,8.7,8.2,8.5,8.9,8.5,8.2,8.9,9.0,8.6,8.6,8.8,8.1,8.7,8.6,8.7,8.6,8.6,8.6,7.8,7.7,8.5,8.5,8.8,8.5,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.1,Not Scored,8.8,8.4,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.3,8.0,,,
01M140,P.S. 140 Nathan Straus,ES/MS,8.6,8.7,8.3,8.7,8.9,8.7,8.3,8.9,8.9,8.6,8.5,9.0,8.4,8.6,8.8,8.6,8.7,8.5,8.6,8.3,8.3,8.8,8.9,8.7,8.5,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.1,Not Scored,8.7,8.8,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.2,8.4,,,
01M142,P.S. 142 Amalia Castro,ES,8.5,8.5,8.3,8.6,8.5,8.4,8.4,8.6,8.8,8.5,8.4,8.6,8.4,8.6,8.6,8.6,8.6,8.5,8.4,8.3,8.4,8.6,8.7,8.8,8.6,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.3,Not Scored,8.5,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.6,8.3,,,
01M184,P.S. 184m Shuang Wen,ES/MS,7.4,7.8,7.1,7.7,7.9,7.7,8.0,7.3,8.3,7.5,6.9,7.7,7.0,7.7,7.6,7.7,7.7,7.6,7.6,7.1,6.7,7.7,8.0,7.6,7.7,7.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.4,Not Scored,7.5,7.3,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.0,7.4,7.1,,,
01M188,P.S. 188 The Island School,ES/MS,8.6,8.9,8.6,8.7,8.9,8.8,8.8,9.1,9.2,8.7,8.7,8.8,8.7,8.7,8.8,8.8,8.7,8.6,8.6,8.4,8.4,8.9,8.7,8.8,8.7,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,Not Scored,8.8,8.7,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.3,8.0,,,
