dbn,locationname,schooltype,aca_t_13,com_t_13,eng_t_13,saf_t_13,t_q1a,t_q1b,t_q1c,t_q1d,t_q1e,t_q1f,t_q1g,t_q1h,t_q2a,t_q2b,t_q3a,t_q3b,t_q3c,t_q3d,t_q4a,t_q4b,t_q4c,t_q4d,t_q4e,t_q4f,t_q4g,t_q5,t_q6a,t_q6b,t_q6c,t_q7a,t_q7b,t_q7c,t_q8a,t_q8b,t_q8c,t_q9a,t_q9b,t_q9d,t_q10a,t_q10b,t_q10c,t_q10d,t_q10e,t_q10f,t_q11a,t_q11b,t_q11c,t_q11d,t_q11e,t_q11f,t_q11g,t_q11h,t_q11i,t_q11j,t_q11k,t_q11l,t_q11m,t_q12a,t_q14a,t_q14b,t_q14c,t_q14d,t_q15a,t_q15b,t_q15c,t_q15d,t_q16a,t_q16b,t_q16c
01M015,P.S. 015 Roberto Clemente,ES,8.5207,8.02557,7.89694,8.14214,8.97727,6.81818,7.38636,9.20455,7.04545,8.63636,7.5,7.84091,7.27273,6.81818,8.18182,9.09091,7.61364,9.09091,8.18182,7.97619,8.75,7.95455,8.86364,8.33333,8.75,8.97727,7.15909,,9.20455,8.75,9.09091,9.20455,6.59091,6.59091,7.27273,8.06818,7.85714,7.7381,6.875,8.29545,8.86364,9.20455,7.5,8.28947,7.14286,6.70455,8.97727,8.40909,7.27273,8.97727,6.93182,7.72727,9.54545,9.7619,8.97727,9.54545,8.18182,7.95455,8.45238,8.18182,7.95455,8.29545,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M019,P.S. 019 Asher Levy,ES,9.01083,9.09741,9.00475,8.61235,9.375,8.78571,8.75,8.28571,8.54167,9.70588,9.375,8.54167,8.81944,8.88889,9.16667,9.02778,8.81944,9.23611,9.30556,8.61111,9.44444,9.23611,9.30556,9.09722,9.23611,9.57143,9.23611,9.58333,9.30556,8.81944,9.375,9.30556,9.16667,8.81944,9.09722,9.07143,8.85714,8.93939,8.71429,9.07143,9.07143,9.35714,7.86765,8.82353,9.14286,9.28571,8.82353,7.86765,7.78571,9,8.5,8.5,9.21429,8.64286,8.14286,8.64286,8.14286,9,8.5,8.85714,8.78571,8.78571,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M020,P.S. 020 Anna Silver,ES,7.61581,6.81353,7.3213,7.645,6.89189,6.68919,6.68919,7.63514,6.82432,7.36486,6.28378,6.21622,6.14865,6.48649,7.7027,7.5,6.21622,7.83784,7.83784,7.97297,8.04054,8.17568,7.63889,7.63514,7.83784,8.64286,6.92857,7.42857,8.30882,6.25,7.98611,7.70833,7.63889,7.77778,7.84722,6.18056,6.89189,6.875,7.02703,6.80556,7.97297,7.90541,6.48649,5.64286,5.625,6.04167,7.78571,7.77778,6.18056,8.47222,7.42857,7.77778,8.125,9.57143,8.40278,9.79167,7.36111,9.72222,6.83824,7.05882,8.01471,8.23529,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,7.79527,7.97297,7.78325,7.04339,7.63889,8.54167,7.91667,6.71429,8.71429,8.05556,8.19444,8.61111,8.88889,8.88889,8.33333,7.5,7.08333,8.19444,7.70833,6.80556,8.33333,7.98611,8.26389,8.07143,8.42857,9.16667,8.95833,8.86364,8.88889,7.35714,8.19444,8.19444,7.56944,6.25,6.25,7.42424,8.08824,7.13235,6.94444,6.94444,8.26389,8.68056,7.29167,7.57576,4.44444,4.71429,6.66667,7.5,5.97222,8.47222,5.27778,6.35714,9.23611,8.81944,7.36111,8.47222,6.38889,8.95833,5.9375,7.28261,8.36957,7.95455,5.625,6.66667,7.70833,8.125,N/A,N/A,N/A
01M063,The STAR Academy – P.S.63,ES,7.31772,6.5023,6.36148,7.70483,6.30952,5.45455,7.84091,8.18182,6.25,7.84091,5.11364,4.65909,4.20455,5.22727,6.93182,8.63636,6.70455,7.84091,6.81818,6.59091,8.29545,7.72727,7.72727,7.15909,7.27273,8.57143,6.07143,6.30952,8.21429,7.38095,7.5,8.21429,4.28571,3.33333,4.28571,5.92105,6.75,6.11111,5.71429,7.61905,7.97619,7.85714,4.88095,5.625,7.7381,6.90476,8.25,8.57143,7.2619,8.33333,7.2619,7.61905,8.57143,9,7.7381,9.16667,7.02381,8.09524,6.97368,6.5,7.5,7.625,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M064,P.S. 064 Robert Simon,ES,9.59487,9.53664,9.64378,9.52648,9.74138,9.56897,9.39655,9.375,9.13793,9.56897,9.39655,9.22414,9.48276,9.39655,9.56897,9.48276,9.48276,9.65517,9.74138,9.39655,9.65517,9.56897,9.48276,9.22414,9.82759,9.74138,9.56897,9.65517,9.74138,9.48276,9.82759,9.82143,9.65517,9.48276,9.55357,9.62963,9.81481,9.72222,9.81481,9.74138,9.74138,9.82759,9.74138,9.80769,9.46429,9.375,9.82143,9.375,9.28571,9.82143,9.28571,9.28571,9.91071,9.64286,9.55357,9.64286,9.82143,9.64286,9.13462,9.42308,9.80769,9.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M110,P.S. 110 Florence Nightingale,ES,6.78024,5.88407,6.13364,7.40005,6.04839,5.32258,6.08333,6.29032,5.83333,6.45161,5.32258,5.48387,5,5.32258,7.75,7.66667,5.58333,6.83333,6.91667,7,7.5,6.16667,6.41667,6.25,6.91667,7.16667,5.66667,6,7.08333,4.25,7.25,7.16667,5.25,4.58333,5.83333,5.51724,6.16071,5.17241,5.80357,5.58333,7.25,6.75,6.66667,4.90741,7.25,5.66667,7.91667,8.75,7.16667,7.58333,7.83333,7.84483,8.44828,9.58333,7.75,9.58333,5.83333,8.66667,5.8,6.6,7.4,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M134,P.S. 134 Henrietta Szold,ES,6.6834,5.76334,6.28493,6.76516,6.41304,5.43478,7.17391,6.52174,5.65217,6.41304,4.23913,5.86957,6.52174,8.15217,7.04545,8.29545,6.25,7.5,6.36364,5.22727,7.72727,6.81818,7.27273,6.13636,5.22727,7.14286,6.70455,6.42857,7.72727,5.90909,7.72727,7.72727,7.15909,5.68182,6.13636,5,5.5,5.79545,5.68182,4.20455,6.41304,6.19565,5.97826,5,4.31818,3.52273,7.84091,7.5,7.5,7.61364,6.93182,6.93182,8.63636,9.52381,8.40909,9.375,2.38095,5.56818,5.375,5.83333,6.42857,5.875,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M137,P.S. 137 John L. Bernstein,ES,7.6622,6.68155,6.56767,6.97857,7,8.16667,6.96429,8,7.16667,8,5.33333,7,6.33333,6,7,8.5,6.83333,7.83333,5.33333,6.16667,8.5,7,7.5,6.66667,8,8.5,7.33333,5,8.33333,8.66667,8.83333,8.5,5.33333,4.10714,4.66667,7,7.33333,5.71429,6.5,6,6.78571,8,6.83333,5,4.64286,5.35714,7.16667,7.5,5.33333,8,5.83333,5.17857,8.83333,9.33333,8.33333,9.33333,6.33333,7.66667,6.25,6.60714,8.03571,8.03571,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M140,P.S. 140 Nathan Straus,ES/MS,7.71347,7.57149,7.1281,7.60836,7.84483,7.24138,7.15517,6.12069,6.42857,8.36207,7.67241,7.67241,7.67241,7.32759,7.32759,7.75862,6.55172,8.36207,8.01724,6.03448,8.01724,7.58621,7.84483,7.41379,7.5,8.01724,7.5,7.41379,8.10345,7.06897,7.58621,8.01724,7.67241,6.81034,7.15517,6.5,6.73077,7.5,6.63462,7.96296,8.07692,7.87037,5.57692,5.7,8.03571,7.23214,8.83929,8.39286,6.51786,7.5,6.51786,7.67857,7.94643,8.03571,6.57407,8.39286,7.67857,8.33333,6.71875,7.03125,7.5,8.125,7.5,7.70833,8.54167,9.79167,N/A,N/A,N/A
