dbn,school_name,boro,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,Location 1
01M292,Henry Street School for International Studies,Manhattan,6,12,10002,323,,Psychology,"Chinese Language and Culture, Spanish Literature and Culture",8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"220 Henry Street
New York, NY 10002
(40.71376394700047, -73.98526003999967)"
01M448,University Neighborhood High School,Manhattan,9,12,10002,299,,"Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language and Culture, Spanish Literature and Culture, United States History, World History",,8:15 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,3,"200 Monroe Street
New York, NY 10002
(40.7123318510005, -73.98479662499966)"
01M450,East Side Community School,Manhattan,6,12,10009,649,Consortium School,"Calculus AB, English Literature and Composition",,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"420 East 12 Street
New York, NY 10009
(40.729782687000466, -73.98304144099967)"
01M509,Marta Valle High School,Manhattan,9,12,10002,401,,"English Literature and Composition, Studio Art: Drawing",,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"145 Stanton Street
New York, NY 10002
(40.720569079000484, -73.98567269099965)"
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,9,12,10002,1725,,"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Comparative Government and Politics, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Human Geography, Microeconomics, Physics B, Psychology, Spanish Language and Culture, Statistics, United States History, World History",,8:15 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"111 Columbia Street
New York, NY 10002
(40.718725451000466, -73.97942638599966)"
01M696,Bard High School Early College,Manhattan,9,12,10002,560,,,,9:00 AM,3:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"525 East Houston Street
New York, NY 10002
(40.718961617000446, -73.97606602099967)"
02M047,47 The American Sign Language and English Secondary School,Manhattan,9,12,10010,184,,,,8:45 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"223 East 23 Street
New York, NY 10010
(40.738599087000466, -73.98251191099968)"
02M135,The Urban Assembly School for Emergency Management,Manhattan,9,11,10019,116,CTE School,,,8:41 AM,3:31 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)"
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,9,11,10038,85,CTE School,"Art History, Biology, Chemistry, Studio Art: 2-D Design, Studio Art: 3-D Design, United States History","Art History, Studio Art: 2-D Design, Studio Art: 3-D Design, United States History",9:10 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)"
02M260,M.S. 260 Clinton School Writers & Artists,Manhattan,6,9,10001,266,New School,,,,,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"425 West 33Rd Street
Manhattan, NY 10001
(40.75321087800046, -73.99785851499968)"
02M280,Manhattan Early College School for Advertising,Manhattan,9,10,10038,N/A,"NYC P-Tech 9-14, New School",,,8:30 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)"
02M282,Urban Assembly Maker Academy,Manhattan,9,10,10038,N/A,"CTE, New School","N/A (Expected: Biology, Calculus BC, Computer  Science AB, Economics: Micro, English Language and Composition, Physics B)  ",Expected as the school grows,9:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"411 Peal Street
New York, NY 10038
(40.709336073000486, -74.00529934499963)"
02M288,Food and Finance High School,Manhattan,9,12,10019,443,CTE School,"English Language and Composition, Environmental Science, United States Government and Politics, United States History",,7:40 AM,2:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
02M294,Essex Street Academy,Manhattan,9,12,10002,349,Consortium School,Spanish Language and Culture,,8:00 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M296,High School of Hospitality Management,Manhattan,9,12,10019,431,,"English Literature and Composition, United States History",,9:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
02M298,Pace High School,Manhattan,9,12,10002,421,,"Calculus AB, Environmental Science, United States History","Biology, Chemistry, Chinese Language and Culture, English Language and Composition, United States History, World History",9:00 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"100 Hester Street
New York, NY 10002
(40.716412393000496, -73.99267584399968)"
02M300,"Urban Assembly School of Design and Construction, The",Manhattan,9,12,10019,427,,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language and Culture, United States Government and Politics, United States History, World History",,8:00 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
02M303,"Facing History School, The",Manhattan,9,12,10019,417,Consortium School,"English Literature and Composition, United States History",,8:35 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,9,12,10002,326,,"English Literature and Composition, Microeconomics, Spanish Language and Culture, United States History",,8:32 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M308,Lower Manhattan Arts Academy,Manhattan,9,12,10002,362,,"Calculus AB, Physics B","English Language and Composition, Spanish Language and Culture",8:30 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,9,12,10004,412,All-Girls School,"Chemistry, Spanish Language and Culture, United States History",Chemistry,8:35 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"26 Broadway
New York, NY 10004
(40.70523493900049, -74.01331503999967)"
02M374,Gramercy Arts High School,Manhattan,9,12,10003,548,,,,8:15 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,3,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
02M376,NYC iSchool,Manhattan,9,12,10013,433,,"Biology, Calculus AB, Calculus BC, Chemistry, Comparative Government and Politics, English Language and Composition, English Literature and Composition, United States Government and Politics, United States History",,9:00 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,"131 Avenue Of The Americas
New York, NY 10013
(40.72435287400049, -74.00475929199968)"
