dbn,X..of.SAT.Takers.in.2014,Avg.SAT.Critical.Reading.Score.in.2014,Avg.SAT.Math.Scores.in.2014,Avg.SAT.Writing.Scores.in.2014,school_name,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time
01M292,26,358,387,349,Henry Street School for International Studies,6,12,10002,323,,Psychology,Chinese Language and Culture; Spanish Literature and Culture,8:30 AM,3:30 PM
01M448,58,367,405,360,University Neighborhood High School,9,12,10002,299,,Calculus AB; Chinese Language and Culture; English Literature and Composition; Spanish Language and Culture; Spanish Literature and Culture; United States History; World History,,8:15 AM,3:15 PM
01M450,82,424,426,422,East Side Community School,6,12,10009,649,Consortium School,Calculus AB; English Literature and Composition,,8:30 AM,3:30 PM
01M458,10,397,349,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M509,28,401,420,369,Marta Valle High School,9,12,10002,401,,English Literature and Composition; Studio Art: Drawing,,8:00 AM,3:30 PM
01M515,103,329,525,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M539,104,567,601,552,New Explorations into Science; Technology and Math High School,9,12,10002,1725,,Biology; Calculus AB; Calculus BC; Chemistry; Chinese Language and Culture; Comparative Government and Politics; Computer Science A; English Language and Composition; English Literature and Composition; Environmental Science; European History; French Language and Culture; Human Geography; Microeconomics; Physics B; Psychology; Spanish Language and Culture; Statistics; United States History; World History,,8:15 AM,4:00 PM
01M650,28,438,396,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M696,117,649,628,638,Bard High School Early College,9,12,10002,560,,,,9:00 AM,3:50 PM
02M047,23,420,393,394,47 The American Sign Language and English Secondary School,9,12,10010,184,,,,8:45 AM,3:45 PM
02M288,61,389,373,370,Food and Finance High School,9,12,10019,443,CTE School,English Language and Composition; Environmental Science; United States Government and Politics; United States History,,7:40 AM,2:30 PM
02M294,54,403,376,387,Essex Street Academy,9,12,10002,349,Consortium School,Spanish Language and Culture,,8:00 AM,2:45 PM
02M296,51,384,384,377,High School of Hospitality Management,9,12,10019,431,,English Literature and Composition; United States History,,9:00 AM,3:45 PM
02M298,86,438,453,442,Pace High School,9,12,10002,421,,Calculus AB; Environmental Science; United States History,Biology; Chemistry; Chinese Language and Culture; English Language and Composition; United States History; World History,9:00 AM,3:15 PM
02M300,69,423,428,399,Urban Assembly School of Design and Construction; The,9,12,10019,427,,Calculus AB; English Language and Composition; English Literature and Composition; Spanish Language and Culture; United States Government and Politics; United States History; World History,,8:00 AM,3:15 PM
02M303,61,360,355,346,Facing History School; The,9,12,10019,417,Consortium School,English Literature and Composition; United States History,,8:35 AM,3:00 PM
02M305,46,389,382,387,Urban Assembly Academy of Government and Law; The,9,12,10002,326,,English Literature and Composition; Microeconomics; Spanish Language and Culture; United States History,,8:32 AM,3:45 PM
02M308,51,394,414,399,Lower Manhattan Arts Academy,9,12,10002,362,,Calculus AB; Physics B,English Language and Composition; Spanish Language and Culture,8:30 AM,3:00 PM
02M313,47,404,390,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M316,67,424,411,419,Urban Assembly School of Business for Young Women; the,9,12,10004,412,All-Girls School,Chemistry; Spanish Language and Culture; United States History,Chemistry,8:35 AM,3:30 PM
02M374,87,427,412,408,Gramercy Arts High School,9,12,10003,548,,,,8:15 AM,3:30 PM
02M376,91,496,504,490,NYC iSchool,9,12,10013,433,,Biology; Calculus AB; Calculus BC; Chemistry; Comparative Government and Politics; English Language and Composition; English Literature and Composition; United States Government and Politics; United States History,,9:00 AM,4:00 PM
02M392,48,409,411,400,MANHATTAN BUSINESS ACADEMY,9,12,10011,426,,Statistics,,8:30 AM,3:15 PM
02M393,69,377,379,376,BUSINESS OF SPORTS SCHOOL,9,12,10019,420,CTE School,English Language and Composition; Environmental Science; United States Government and Politics,,8:50 AM,3:30 PM
02M394,75,334,511,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M399,37,361,429,334,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,9,12,10003,358,,Biology; Calculus BC; Chinese Language and Culture; English Literature and Composition; Environmental Science; United States History,,8:00 AM,3:30 PM
02M400,253,462,484,454,High School for Environmental Studies,9,12,10019,1312,,Biology; Calculus AB; Calculus BC; English Language and Composition; English Literature and Composition; Environmental Science; Macroeconomics; Physics B; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics; United States History; World History,Human Geography; Microeconomics,8:15 AM,3:00 PM
02M407,64,514,485,508,Institute for Collaborative Education,6,12,10003,468,Consortium School,,,8:00 AM,3:00 PM
02M408,75,515,495,519,Professional Performing Arts High School,6,12,10036,512,,Biology; English Literature and Composition,,8:15 AM,3:30 PM
02M411,107,511,570,501,Baruch College Campus High School,9,12,10010,439,,Biology; Calculus AB; Comparative Government and Politics; English Literature and Composition; United States History,,8:20 AM,2:50 PM
02M412,107,544,579,545,N.Y.C. Lab School for Collaborative Studies,9,12,10011,599,,Biology; Calculus AB; Calculus BC; English Language and Composition; English Literature and Composition; Psychology; Spanish Language and Culture; Statistics; United States Government and Politics; United States History,,8:00 AM,2:50 PM
02M413,82,499,503,501,School of the Future High School,6,12,10010,715,Consortium School,English Language and Composition; Environmental Science; United States History,,8:35 AM,3:10 PM
02M414,95,468,510,475,N.Y.C. Museum School,9,12,10011,462,,Biology; English Literature and Composition; United States History,,8:15 AM,2:45 PM
02M416,114,577,621,596,Eleanor Roosevelt High School,9,12,10021,531,,Art History; Biology; Calculus AB; Chemistry; Comparative Government and Politics; English Literature and Composition; European History; Macroeconomics; Music Theory; Spanish Literature and Culture; Statistics; Studio Art: 3-D Design; United States History; World History,,8:30 AM,3:30 PM
02M418,140,551,571,549,Millennium High School,9,12,10004,619,,Calculus AB; English Language and Composition; English Literature and Composition; United States History,,8:30 AM,3:00 PM
02M419,57,396,397,394,Landmark High School,9,12,10011,396,Consortium School,,,8:45 AM,3:20 PM
