DBN,school_name,gender,cohort_num
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Female,30
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Male,47
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,Female,62
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,Male,88
01M450,EAST SIDE COMMUNITY SCHOOL,Female,51
01M450,EAST SIDE COMMUNITY SCHOOL,Male,38
01M509,MARTA VALLE SECONDARY SCHOOL,Female,36
01M509,MARTA VALLE SECONDARY SCHOOL,Male,59
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Female,121
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Male,114
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",Female,59
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",Male,69
01M650,CASCADES HIGH SCHOOL,Female,67
01M650,CASCADES HIGH SCHOOL,Male,51
01M696,BARD HIGH SCHOOL EARLY COLLEGE,Female,80
01M696,BARD HIGH SCHOOL EARLY COLLEGE,Male,45
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,Female,15
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,Male,8
02M288,FOOD AND FINANCE HIGH SCHOOL,Female,50
02M288,FOOD AND FINANCE HIGH SCHOOL,Male,40
02M294,ESSEX STREET ACADEMY,Female,43
02M294,ESSEX STREET ACADEMY,Male,37
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,Female,55
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,Male,27
02M298,PACE HIGH SCHOOL,Female,54
02M298,PACE HIGH SCHOOL,Male,40
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,Female,21
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,Male,65
02M303,FACING HISTORY SCHOOL (THE),Female,36
02M303,FACING HISTORY SCHOOL (THE),Male,43
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,Female,29
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,Male,30
02M308,LOWER MANHATTAN ARTS ACADEMY,Female,39
02M308,LOWER MANHATTAN ARTS ACADEMY,Male,24
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,Female,49
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,Male,60
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,Female,61
02M374,GRAMERCY ARTS HIGH SCHOOL,Female,48
02M374,GRAMERCY ARTS HIGH SCHOOL,Male,24
02M394,EMMA LAZARUS HIGH SCHOOL,Female,2
02M394,EMMA LAZARUS HIGH SCHOOL,Male,12
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,Female,178
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,Male,162
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,Female,32
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,Male,22
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Female,68
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Male,32
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Female,68
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Male,38
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,Female,68
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,Male,69
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,Female,49
