DBN,school_0me,male,female,male_ratio,female_ratio
01M292,HENRY STREET SCHOOL FOR INTER0TIO0L STUDIES,47,30,0.61038961,0.38961039
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,88,62,0.586666667,0.413333333
01M450,EAST SIDE COMMUNITY SCHOOL,38,51,0.426966292,0.573033708
01M509,MARTA VALLE SECONDARY SCHOOL,59,36,0.621052632,0.378947368
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,114,121,0.485106383,0.514893617
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",69,59,0.5390625,0.4609375
01M650,CASCADES HIGH SCHOOL,51,67,0.43220339,0.56779661
01M696,BARD HIGH SCHOOL EARLY COLLEGE,45,80,0.36,0.64
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,8,15,0.347826087,0.652173913
02M288,FOOD AND FI0NCE HIGH SCHOOL,40,50,0.444444444,0.555555556
02M294,ESSEX STREET ACADEMY,37,43,0.4625,0.5375
02M296,HIGH SCHOOL OF HOSPITALITY MA0GEMENT,27,55,0.329268293,0.670731707
02M298,PACE HIGH SCHOOL,40,54,0.425531915,0.574468085
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,65,21,0.755813953,0.244186047
02M303,FACING HISTORY SCHOOL (THE),43,36,0.544303797,0.455696203
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,30,29,0.508474576,0.491525424
02M308,LOWER MANHATTAN ARTS ACADEMY,24,39,0.380952381,0.619047619
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIO0RY LR,60,49,0.550458716,0.449541284
02M374,GRAMERCY ARTS HIGH SCHOOL,24,48,0.333333333,0.666666667
02M394,EMMA LAZARUS HIGH SCHOOL,12,2,0.857142857,0.142857143
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,162,178,0.476470588,0.523529412
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,22,32,0.407407407,0.592592593
02M408,PROFESSIO0L PERFORMING ARTS HIGH SCHOOL,32,68,0.32,0.68
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,38,68,0.358490566,0.641509434
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,69,68,0.503649635,0.496350365
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,39,49,0.443181818,0.556818182
02M414,NYC MUSEUM SCHOOL,51,47,0.520408163,0.479591837
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,37,77,0.324561404,0.675438596
02M418,MILLENNIUM HIGH SCHOOL,46,100,0.315068493,0.684931507
02M419,LANDMARK HIGH SCHOOL,41,54,0.431578947,0.568421053
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,110,248,0.30726257,0.69273743
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,79,72,0.523178808,0.476821192
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,53,50,0.514563107,0.485436893
02M439,MANHATTAN VILLAGE ACADEMY,33,57,0.366666667,0.633333333
02M440,BAYARD RUSTIN EDUCATIO0L COMPLEX,146,146,0.5,0.5
02M449,VANGUARD HIGH SCHOOL,46,44,0.511111111,0.488888889
02M459,MANHATTAN INTER0TIO0L HIGH SCHOOL,37,28,0.569230769,0.430769231
02M460,WASHINGTON IRVING HIGH SCHOOL,215,192,0.528255528,0.471744472
02M475,STUYVESANT HIGH SCHOOL,462,322,0.589285714,0.410714286
02M489,HIGH SCHOOL OF ECONOMICS & FI0NCE,116,76,0.604166667,0.395833333
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,40,19,0.677966102,0.322033898
02M519,TALENT UNLIMITED HIGH SCHOOL,21,64,0.247058824,0.752941176
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,288,274,0.512455516,0.487544484
02M529,JACQUELINE KENNEDY-O0SSIS HIGH SCHOOL,73,113,0.392473118,0.607526882
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,11,28,0.282051282,0.717948718
