,names.a,names.b,Median.Household.Income,,,ID
1,Mott Haven,Melrose,19443,,,BX34
2,Hunts Point,,19443,,,BX27
,Longwood,,19443,,,BX33
3,Morrisania,,20933,,,BX35
, Crotona,,20933,,,BX75
4,Highbridge ,,27408,,,BX26
,Concourse,,27408,,,BX63
5,Fordham ,,21959,,,BX40
, University Hts,,21959,,,BX36
6,Belmont ,,20933,,,BX06
,East Tremont,,20933,,,BX17
7,Kingsbridge Hts,,31039,,,BX30
, Bedford,,31039,,,BK75
8,Riverdale ,,55882,,,BX22
,Fieldston,,55882,,,BX22
9,Parkchester ,,34349,,,BX46
, Soundview,,34349,,,BX09
10,Throngs Neck ,,52196,,,BX52
,Co-op City,,52196,,,BX13
,Morris Park ,,43360,,,BX37
11, Bronxdale,,43360,,,BX07
12,Williamsbridge ,,42077,,,BX44
13, Baychester,,42077,,,BX03
14,Greenpoint ,,51143,,,BK76
, Williamsburg,,51143,,,BK72
15,Fort Greene ,,77014,,,BK68
, Brooklyn Hts,,77014,,,BK09
16,Bedford ,,38742,,,BK75
,Stuyvesant ,,38742,,,MN50
17,Bushwick,,35616,,,BK77
18,East New York ,,34249,,,BK82
, Starrett City,,34249,,,BK93
19,Park Slope ,,88610,,,BK37
, Carroll Gardens,,88610,,,BK33
20,Sunset Park,,42116,,,BK32
21,Crown Hts ,,42401,,,BK61
, Prospect Hts,,42401,,,BK64
22,S. Crown Hts ,,39250,,,BK63
, Lefferts Gardens,,39250,,,BK60
23,Bay Ridge ,,53285,,,BK31
, Dyker Hts,,53285,,,BK30
24,Bensonhurst,,50860,,,BK28
25,Borough Park,,38451,,,BK88
26,Coney Island,,30458,,,BK21
27,Flatbush ,,41759,,,BK42
, Midwood,,41759,,,BK43
28,Sheepshead Bay,,48138,,,BK17
29,Brownsville,,28838,,,BK81
30,East Flatbush,,49437,,,BK91
31,Flatlands ,,62546,,,BK58
32, Canarsie,,62546,,,BK50
34,Financial District,,104603,,,MN25
35,Greenwich Villiage ,,104603,,,MN23
, Soho,,104603,,,MN24
36,Lower East Side ,,41512,,,MN28
, Chinatown,,41512,,,MN27
37,Clinton ,,87726,,,MN15
, Chelsea,,87726,,,MN13
38,Midtown,,87726,,,MN17
39,Stuyvesant Town ,,93983,,,MN50
, Turtle Bay,,93983,,,MN19
40,Upper West Side,,93361,,,MN12
41,Upper East Side,,100994,,,MN40
42,Morningside Hts ,,41090,,,MN09
, Hamilton,,41090,,,MN04
43,Central Harlem,,37460,,,MN03
44,East Harlem,,31537,,,MN34
45,Washington Hts ,,36872,,,MN35
46, Inwood,,36872,,,MN01
47,Astoria,,52727,,,QN70
48,Woodside ,,50684,,,QN63
, Sunnyside,,50684,,,QN31
49,Jackson Heights,,43842,,,QN28
50,Elmhurst ,,42366,,,QN29
, Corona,,42366,,,QN25
51,Ridgewood ,,51723,,,QN20
, Maspeth,,51723,,,QN30
52,Rego Park ,,64236,,,QN18
, Forest Hills,,64236,,,QN17
53,Flushing ,,53200,,,QN22
,Queens Village,,53200,,,QN49
54,Hillcrest ,,65192,,,QN38
, Fresh Meadows,,65192,,,QN41
55,Kew Gardens ,,56581,,,QN37
, Woodhaven,,56581,,,QN53
56,S. Ozone Park ,,60877,,,QN55
, Howard Beach,,60877,,,QN57
57,Bayside ,,73315,,,QN46
, Little Neck,,73315,,,QN45
58,Jamaica ,,51574,,,QN61
, Hollis ,,51574,,,QN07
59,Queens Village,,74226,,,QN34
60,Rockaway ,,49757,,,QN10
61, Broad Channel,,49757,,,QN10
62,St. George ,,57325,,,SI22
, Stapleton,,57325,,,SI37
63,South Beach ,,72495,,,SI36
, Willowbrook,,72495,,,SI36
64,Tottenville ,,83441,,,SI11
, Great Kills,,83441,,,SI54
