"","NTACode","ntaMHI"
"1","BK09",107060.5
"2","BK17",55567.3157894737
"3","BK19",33555.5555555556
"4","BK21",30582.25
"5","BK23",43905
"6","BK25",42815.875
"7","BK26",38909.125
"8","BK27",45353.4545454545
"9","BK28",40793.3076923077
"10","BK29",41265.1111111111
"11","BK30",55911.0588235294
"12","BK31",57405.8214285714
"13","BK32",38726.8666666667
"14","BK33",81820.5
"15","BK34",32565.25
"16","BK35",33915.5
"17","BK37",86236.2
"18","BK38",73300.9166666667
"19","BK40",74399
"20","BK41",42401.375
"21","BK42",45739.0769230769
"22","BK43",54292.7777777778
"23","BK44",54256.5333333333
"24","BK45",81466.6842105263
"25","BK46",50328
"26","BK50",61104.8235294118
"27","BK58",66227.2592592593
"28","BK60",39016.2777777778
"29","BK61",35124.4814814815
"30","BK63",38801.4444444444
"31","BK64",75478
"32","BK68",56697.8
"33","BK69",54759.4
"34","BK72",22979.5714285714
"35","BK73",48191.5384615385
"36","BK75",32525.1578947368
"37","BK76",55471.9166666667
"38","BK77",35294.3846153846
"39","BK78",36269.2857142857
"40","BK79",34653
"41","BK81",27581.5333333333
"42","BK82",34286.8518518519
"43","BK83",40903.75
"44","BK85",33163.5555555556
"45","BK88",38593.8928571429
"46","BK90",47810.7
"47","BK91",56461.5789473684
"48","BK93",24870
"49","BK95",37440.4285714286
"50","BK96",50191.5882352941
"51","BK99",7075.8
"52","BX01",22520.5
"53","BX03",52855.125
"54","BX05",28490.7272727273
"55","BX06",22189.8
"56","BX07",35312.125
"57","BX08",32526.8571428571
"58","BX09",42211.4166666667
"59","BX10",57849.1666666667
"60","BX13",45234.6666666667
"61","BX14",25827.0714285714
"62","BX17",21889.5833333333
"63","BX22",66860.4444444444
"64","BX26",27777.7142857143
"65","BX27",20145
"66","BX28",35929.4
"67","BX29",66007.2222222222
"68","BX30",30874
"69","BX31",65523.7272727273
"70","BX33",23500.2
"71","BX34",23971.375
"72","BX35",24671.875
"73","BX36",26081.1428571429
"74","BX37",53689.25
"75","BX39",21296.3076923077
"76","BX40",22328.4
"77","BX41",28782.2307692308
"78","BX43",32413.4285714286
"79","BX44",46662.5
"80","BX46",45098
"81","BX49",48904
"82","BX52",60730.8
"83","BX55",32870.7777777778
"84","BX59",42754.8571428571
"85","BX62",56590.1428571429
"86","BX63",27319.4285714286
"87","BX75",20707.8333333333
"88","BX98",0
"89","BX99",6539.57142857143
"90","MN01",41203.4285714286
"91","MN03",32725.0625
"92","MN04",34422.1428571429
"93","MN06",20398.8
"94","MN09",61285.5
"95","MN11",41198.1
"96","MN12",91197.1875
"97","MN13",94046.8666666667
"98","MN14",105526
"99","MN15",66589.1428571429
"100","MN17",87365.3529411765
"101","MN19",98294.8181818182
"102","MN20",91352.4285714286
"103","MN21",96540.25
"104","MN22",63905.2857142857
"105","MN23",104730.857142857
"106","MN24",101778
"107","MN25",117424.857142857
"108","MN27",37852.5
"109","MN28",42543.4
"110","MN31",89985.4
"111","MN32",92356.6666666667
"112","MN33",39029.1818181818
"113","MN34",27421
"114","MN35",43928.2727272727
"115","MN36",33007.3333333333
"116","MN40",153145.428571429
"117","MN50",95378.5
"118","MN99",0
"119","QN01",47597.1428571429
"120","QN02",60533.6666666667
"121","QN03",75074.4
"122","QN05",80556.3333333333
"123","QN06",72190.625
"124","QN07",69593.6666666667
"125","QN08",64392.3913043478
"126","QN10",77538.875
"127","QN12",41373.875
"128","QN15",39750.625
"129","QN17",72783.7916666667
"130","QN18",58059.375
"131","QN19",54248
"132","QN20",42923.6842105263
"133","QN21",56790.7777777778
"134","QN22",37462.6923076923
"135","QN23",63394.6666666667
"136","QN25",46326.5454545455
"137","QN26",45327.4444444444
"138","QN27",53716.625
"139","QN28",51575.2631578947
"140","QN29",44893.3529411765
"141","QN30",59308.0714285714
"142","QN31",50641.4210526316
"143","QN33",83373.2307692308
"144","QN34",72944.55
"145","QN35",55049.7272727273
"146","QN37",55596.5555555556
"147","QN38",66714.1428571429
"148","QN41",76245.75
"149","QN42",77157
"150","QN43",73950.3333333333
"151","QN44",72114.2
"152","QN45",83357
"153","QN46",72209.4444444444
"154","QN47",62204.6666666667
"155","QN48",69898.7142857143
"156","QN49",78456.5
"157","QN50",47516
"158","QN51",65885.5384615385
"159","QN52",58028.9166666667
"160","QN53",54801.8
"161","QN54",57175.6
"162","QN55",56469.96
"163","QN56",51238.5714285714
"164","QN57",68384.25
"165","QN60",55669
"166","QN61",40244.2
"167","QN62",62292.6
"168","QN63",56862.5
"169","QN66",82095
"170","QN68",33379.1111111111
"171","QN70",50198.5652173913
"172","QN71",49041.25
"173","QN72",52639.4705882353
"174","QN76",59390
"175","QN98",0
"176","QN99",14828.125
"177","SI01",92485.5
"178","SI05",94928.8888888889
"179","SI07",81991.7142857143
"180","SI08",56672.75
"181","SI11",87730.75
"182","SI12",52716.75
"183","SI14",62108.2
"184","SI22",49293.8181818182
"185","SI24",80953.4285714286
"186","SI25",74712.4
"187","SI28",60882
"188","SI32",85272.6666666667
"189","SI35",74699.4
"190","SI36",54285.8
"191","SI37",49915.5
"192","SI45",72514.8
"193","SI48",85234.5
"194","SI54",86423.875
"195","SI99",0
