"","ID","name"
"1","BK72","Williamsburg"
"2","BK73","North Side South Side"
"3","BK76","Greenpoint"
"4","BK90","East Williamsburg"
"5","BK09","Brooklyn Heights Cobble Hill"
"6","BK38","DUMBO Vinegar Hill Downtown Brooklyn Boerum Hill"
"7","BK68","Fort Greene"
"8","BK69","Clinton Hill"
"9","BK35","Stuyvesant Heights"
"10","BK75","Bedford"
"11","BK77","Bushwick North"
"12","BK78","Bushwick South"
"13","BK99","park cemetery etc Brooklyn"
"14","BK82","East New York"
"15","BK83","Cypress Hills City Line"
"16","BK93","Starrett City"
"17","BK33","Carroll Gardens Columbia Street Red Hook"
"18","BK37","Park Slope Gowanus"
"19","BK32","Sunset Park West"
"20","BK34","Sunset Park East"
"21","BK40","Windsor Terrace"
"22","BK61","Crown Heights North"
"23","BK64","Prospect Heights"
"24","BK60","Prospect Lefferts Gardens Wingate"
"25","BK63","Crown Heights South"
"26","BK30","Dyker Heights"
"27","BK31","Bay Ridge"
"28","BK27","Bath Beach"
"29","BK28","Bensonhurst West"
"30","BK29","Bensonhurst East"
"31","BK41","Kensington Ocean Parkway"
"32","BK46","Ocean Parkway South"
"33","BK88","Borough Park"
"34","BK19","Brighton Beach"
"35","BK21","Seagate Coney Island"
"36","BK23","West Brighton"
"37","BK26","Gravesend"
"38","BK42","Flatbush"
"39","BK43","Midwood"
"40","BK17","Sheepshead Bay Gerritsen Bch Manhattan Bch"
"41","BK25","Homecrest"
"42","BK44","Madison"
"43","BK79","Ocean Hill"
"44","BK81","Brownsville"
"45","BK85","East New York  Pennsylvania Ave"
"46","BK91","East Flatbush Farragut"
"47","BK95","Erasmus"
"48","BK96","Rugby Remsen Village"
"49","BK45","Georgetown Marine Park Bergen Beach Mill Basin"
"50","BK50","Canarsie"
"51","BK58","Flatlands"
"52","BX27","Hunts Point"
"53","BX33","Longwood"
"54","BX34","Melrose South Mott Haven North"
"55","BX39","Mott Haven Port Morris"
"56","BX98","Rikers Island1"
"57","BX01","Claremont Bathgate"
"58","BX06","Belmont"
"59","BX17","East Tremont"
"60","BX35","Morrisania Melrose"
"61","BX75","Crotona Park East"
"62","BX14","East Concourse Concourse Village"
"63","BX26","Highbridge"
"64","BX63","West Concourse"
"65","BX36","University Heights Morris Heights"
"66","BX40","Fordham South"
"67","BX41","Mount Hope"
"68","BX05","Bedford Park Fordham North"
"69","BX30","Kingsbridge Heights"
"70","BX43","Norwood"
"71","BX22","North Riverdale Fieldston Riverdale"
"72","BX28","Van Cortlandt Village"
"73","BX29","Spuyten Duyvil Kingsbridge"
"74","BX08","West Farms Bronx River"
"75","BX09","Soundview Castle Hill Clason Point Harding Park"
"76","BX46","Parkchester"
"77","BX55","Soundview Bruckner"
"78","BX59","Westchester Unionport"
"79","BX10","Pelham Bay Country Club City Island"
"80","BX13","Co op City"
"81","BX52","Schuylerville Throgs Neck Edgewater Park"
"82","BX07","Bronxdale"
"83","BX31","Allerton Pelham Gardens"
"84","BX37","Van Nest Morris Park Westchester Square"
"85","BX49","Pelham Parkway"
"86","BX03","Eastchester Edenwald Baychester"
"87","BX44","Williamsbridge Olinville"
"88","BX62","Woodlawn Wakefield"
"89","BX99","park cemetery etc Bronx"
"90","MN23","West Village"
"91","MN24","SoHo TriBeCa Civic Center Little Italy"
"92","MN25","Battery Park City Lower Manhattan"
"93","MN22","East Village"
"94","MN27","Chinatown"
"95","MN28","Lower East Side"
"96","MN13","Hudson Yards Chelsea Flat Iron Union Square"
"97","MN15","Clinton"
"98","MN17","Midtown Midtown South"
"99","MN19","Turtle Bay East Midtown"
"100","MN20","Murray Hill Kips Bay"
"101","MN21","Gramercy"
"102","MN50","Stuyvesant Town Cooper Village"
"103","MN12","Upper West Side"
"104","MN14","Lincoln Square"
"105","MN31","Lenox Hill Roosevelt Island"
"106","MN32","Yorkville"
"107","MN40","Upper East Side Carnegie Hill"
"108","MN04","Hamilton Heights"
"109","MN06","Manhattanville"
"110","MN09","Morningside Heights"
"111","MN03","Central Harlem North Polo Grounds"
"112","MN11","Central Harlem South"
"113","MN33","East Harlem South"
"114","MN34","East Harlem North"
"115","MN01","Marble Hill2 Inwood"
"116","MN35","Washington Heights North"
"117","MN36","Washington Heights South"
"118","MN99","park cemetery etc Manhattan"
"119","QN68","Queensbridge Ravenswood Long Island City"
"120","QN70","Astoria"
"121","QN71","Old Astoria"
"122","QN72","Steinway"
"123","QN99","park cemetery etc Queens"
"124","QN31","Hunters Point Sunnyside West Maspeth"
"125","QN50","Elmhurst Maspeth"
