zipcode,zipcode_lonlat,population,avg_household
10007,"40.713973, -74.008336","3,522","$112,947.00"
10280,"40.708501, -74.016828","6,614","$108,536.00"
10162,"40.769298, -73.949942","1,726","$108,416.00"
10004,"40.691870, -74.014109","1,225","$101,868.00"
10069,"40.775551, -73.989689","1,403","$88,091.00"
10282,"40.717017, -74.015566","1,574","$86,066.00"
10006,"40.707970, -74.013610","1,447","$81,334.00"
10022,"40.758615, -73.967752","30,642","$80,406.00"
10005,"40.705390, -74.008988",884,"$79,517.00"
10024,"40.786307, -73.970694","61,414","$78,066.00"
10028,"40.776865, -73.954721","44,987","$77,565.00"
10021,"40.769742, -73.961653","102,078","$75,472.00"
10023,"40.775394, -73.982197","62,206","$72,424.00"
10128,"40.781656, -73.950281","59,856","$70,031.00"
10017,"40.752292, -73.972393","16,201","$69,273.00"
10014,"40.733471, -74.007098","32,667","$66,601.00"
10016,"40.744983, -73.978262","51,217","$66,342.00"
10010,"40.739122, -73.982363","26,408","$62,467.00"
10011,"40.741844, -74.000711","46,669","$61,986.00"
10003,"40.731856, -73.989145","53,673","$60,891.00"
10012,"40.725639, -73.998090","26,000","$58,313.00"
10019,"40.766331, -73.985013","36,012","$55,869.00"
10044,"40.762050, -73.949933","9,520","$49,976.00"
10025,"40.797958, -73.964917","97,086","$49,733.00"
10018,"40.754969, -73.992126","4,255","$48,705.00"
10036,"40.759614, -73.991148","18,751","$41,002.00"
10001,"40.750722, -73.997276","17,310","$40,932.00"
10009,"40.726622, -73.978955","58,595","$40,176.00"
10013,"40.720067, -74.004829","25,042","$38,304.00"
10033,"40.849124, -73.935956","58,259","$31,348.00"
10038,"40.709336, -74.002943","15,574","$31,316.00"
10034,"40.869208, -73.921929","41,756","$29,479.00"
10040,"40.858134, -73.929031","46,599","$27,905.00"
10037,"40.813159, -73.937352","16,984","$26,561.00"
10032,"40.839194, -73.942591","63,842","$26,237.00"
10031,"40.825857, -73.949451","60,221","$24,285.00"
10002,"40.715952, -73.985870","84,870","$24,022.00"
10027,"40.811407, -73.953564","56,168","$23,150.00"
10026,"40.802320, -73.952943","30,377","$22,491.00"
10029,"40.792245, -73.945230","75,390","$22,232.00"
10030,"40.818492, -73.943283","25,847","$17,970.00"
10039,"40.826296, -73.937053","21,737","$17,370.00"
10035,"40.795487, -73.929501","32,702","$14,896.00"
10177,"40.755139, -73.975934",0,$0.00
